Tracker,Model,idf1_mean,idp_mean,idr_mean,recall_mean,precision_mean,num_unique_objects_mean,mostly_tracked_mean,partially_tracked_mean,mostly_lost_mean,num_false_positives_mean,num_misses_mean,num_switches_mean,num_fragmentations_mean,mota_mean,motp_mean,num_transfer_mean,num_ascend_mean,num_migrate_mean,idf1_std,idp_std,idr_std,recall_std,precision_std,num_unique_objects_std,mostly_tracked_std,partially_tracked_std,mostly_lost_std,num_false_positives_std,num_misses_std,num_switches_std,num_fragmentations_std,mota_std,motp_std,num_transfer_std,num_ascend_std,num_migrate_std,mean_speed,std_speed
SORT,yolov8m-seg,0.5034633328193505,0.5542585453725277,0.4762334452874345,0.759135375101694,0.9312201691699574,12.73913043478261,9.304347826086955,2.347826086956522,1.0869565217391304,162.1304347826087,1459.4782608695652,378.39130434782606,178.04347826086956,0.6825438794852375,0.2133673137231435,324.0,51.95652173913044,0.2608695652173913,0.2843379967418429,0.2604103979734721,0.2893177001586882,0.2621626897729421,0.1297679769924745,8.291383212294708,7.382009966550103,2.268533680439534,1.2399795994751786,171.10159245521783,1585.9552575818093,1531.5057872187704,126.19194552198849,0.2942760928960065,0.0753272535373101,1529.4440166282648,40.58938314036585,0.8643121965600912,0.5639,0.0253
WildTracker,yolov8m-seg,0.6681618573787665,0.611416074685509,0.7787192259151919,0.8859753091302112,0.6851976950447749,12.952380952380953,10.523809523809524,1.4285714285714286,1.0,4401.0,633.2380952380952,359.6666666666667,25.09523809523809,0.3573162478493177,0.2486292882873327,352.7142857142857,5.333333333333333,0.5714285714285714,0.2129925088139996,0.215503131062169,0.233151272181946,0.191811087278293,0.1682203665356544,8.12696862597728,7.110689471626838,1.535298947157477,1.1832159566199232,4406.403204428754,551.4534345492741,1614.0735216629178,73.6110757711805,0.5523428674151735,0.1191769093263075,1604.2004595080114,5.062937223917884,1.5675276256394517,5.6016,3.0406
ByteTracker,yolov8s-seg,0.5766415168900946,0.6583515600329515,0.5508849629690981,0.7486861435424705,0.879005750343411,12.73913043478261,9.91304347826087,1.7826086956521738,1.0434782608695652,674.0434782608696,1299.7391304347825,413.39130434782606,315.2173913043478,0.6211396645891236,0.2941830992101807,347.7391304347826,17.782608695652176,0.4782608695652174,0.2629138784831122,0.2239380842697983,0.2822985923265317,0.2806785643369788,0.1071831522499586,8.291383212294708,7.615254090420101,2.6277629915806613,1.330695678260921,654.3273769341564,1329.9906430768365,1530.3392594493084,269.903847613408,0.2946179310699012,0.1140999839837101,1517.879837662069,14.096925911634168,1.3097385310674972,0.6929,0.0389
OCsort,yolov8s-seg,0.5272629859295737,0.803231400305089,0.4563935998732476,0.551666252328604,0.981818585747003,12.73913043478261,6.173913043478261,4.3478260869565215,2.217391304347826,28.217391304347824,2855.391304347826,262.9130434782609,314.2608695652174,0.5191715264405762,0.1957365569093925,235.0434782608696,14.043478260869565,0.5217391304347826,0.325556189330875,0.2228338629938513,0.3180477930220312,0.3295854879052828,0.044859124360207,8.291383212294708,6.13967850737423,4.354816514788007,2.3923461618467274,39.8553709415102,2657.8579163599607,1110.714631259921,356.37151419057363,0.3371269341251971,0.0932429923215521,1096.532446904616,12.690290708288348,1.6752086767540146,0.7371,0.0281
SORT,yolov8s-seg,0.478698223164029,0.6313320577788565,0.4321858987526932,0.6554869113047679,0.967986432161487,12.73913043478261,8.26086956521739,2.9565217391304346,1.5217391304347827,101.91304347826087,2009.1304347826087,359.3478260869565,241.08695652173915,0.5998154356175321,0.221181524462259,293.7391304347826,62.65217391304348,0.2608695652173913,0.2794699783643771,0.250857140888948,0.2857120389538476,0.3031955406675125,0.0553359194043799,8.291383212294708,7.343626743982887,3.226005986433678,1.6752086767540146,142.93924743924612,2075.930838407148,1398.208483891754,218.26691604619376,0.3150331302144659,0.096944779994027,1381.9252452282683,64.44420327669805,1.2510864843424483,0.7374,0.0283
WildTracker,yolov8s-seg,0.6948459325101026,0.6546870261877172,0.8025229867194176,0.8976634840703981,0.7225505212696774,13.714285714285714,11.285714285714286,1.238095238095238,1.1904761904761905,4194.952380952381,756.9047619047619,365.6666666666667,20.38095238095238,0.4432532011944665,0.2394321498344106,359.04761904761904,5.142857142857143,0.7619047619047619,0.2048155944335118,0.2105595944360926,0.232261038932306,0.1748445430763443,0.1516686192378656,7.994641062254497,6.827465541054434,1.51343192462568,1.327367606168224,3868.826572440156,753.3238947997007,1644.3189572991407,54.30881713909464,0.347450050146053,0.1018456926842384,1633.221861113501,5.387816944604877,1.48002573980191,5.7758,3.8729
ByteTracker,yolov8n-seg,0.5622308690349783,0.6688558107362682,0.5298035540483712,0.7378714842784381,0.9110821841878258,12.73913043478261,9.08695652173913,2.608695652173913,1.0434782608695652,592.0,1613.8260869565215,426.2608695652174,416.69565217391306,0.6161940760433842,0.3038101461674038,348.7826086956522,19.0,0.5217391304347826,0.2422176812354808,0.2241455780725822,0.2667873230047224,0.2609874691031446,0.068839416417058,8.291383212294708,7.470627596115463,3.551429039322604,1.4295028019803129,540.2790524770089,1701.133089020746,1495.2797311233442,333.3429076358852,0.2644139587683313,0.1137173612602226,1489.8977071818094,14.9878738864578,1.122884484360431,0.7428,0.0282
OCsort,yolov8n-seg,0.4700358693142379,0.7932714395540966,0.3919193456520969,0.4842616051867062,0.995920219971381,12.73913043478261,5.043478260869565,4.913043478260869,2.782608695652174,20.869565217391305,3518.5652173913045,215.65217391304347,338.5217391304348,0.4613120623454155,0.2007640830771397,193.7826086956522,14.304347826086955,0.5217391304347826,0.3065093053171362,0.2018098529708668,0.2961233234473807,0.3194168645759514,0.00668047114596,8.291383212294708,5.439571013078523,4.51173261899422,3.329708173660138,28.242946581767164,3217.2763866081023,927.586634458948,409.366680436236,0.3240087887019046,0.1312763848121194,909.52449897144,11.686957698098944,1.8797863809339248,0.794,0.0258
SORT,yolov8n-seg,0.4316809291516778,0.5787226714719333,0.3807551284139486,0.6124491363664794,0.973504727602652,12.73913043478261,7.043478260869565,3.782608695652174,1.9130434782608696,76.8695652173913,2509.1304347826085,344.3478260869565,297.39130434782606,0.5637187255731078,0.2238571191053051,272.5217391304348,68.56521739130434,0.3478260869565217,0.2534666500606659,0.1942492085544047,0.2575992882355122,0.2962599999424922,0.0504391974277653,8.291383212294708,6.785534486012842,3.6426329356054135,2.2545518296480056,91.30782319755026,2550.844785277434,1311.1165473711765,270.87597617065114,0.3075874409676493,0.1087277259360464,1286.2699020305054,62.417091254178224,1.2652235035099495,0.7922,0.0242
WildTracker,yolov8n-seg,0.6449656762001069,0.6375821167401358,0.7388251544401789,0.8565056643533592,0.7184847808375949,13.272727272727272,10.272727272727272,1.7727272727272727,1.2272727272727273,4167.272727272727,904.681818181818,350.95454545454544,20.818181818181817,0.3859963220591293,0.2621324196884775,342.8636363636364,5.818181818181818,1.0,0.2043211529564709,0.2312590751818886,0.2453357129852403,0.2167157188468393,0.1675248321858589,8.072185153982357,6.713042161712905,2.136570865881837,1.3427696388548198,3600.704483739367,961.7310972736628,1606.8296047770214,44.20798932711507,0.360135750395981,0.0889237728413159,1593.435440904025,5.179045358221033,1.877181270897812,5.6816,3.3787
